area,broker,community,features,floor,image_urls,model,phones,position,price,release_time,subway,title
109平米,弥玉婷,汇林华城A区,"<span class=""text"">公交：216路、164路、245路、703路，公交车至太元路-太和路口站下车 地铁：地铁三号线辛家庙站西南1000米,地铁四号线大明宫站</span>,<span class=""text"">房子中等装修房子是汇林华城A区环境还不错 交通方便，三居室，户型朝南 ，采光很好，高层，</span>,<span class=""text"">目前处于空置 南北通透 中等装修 拎包入住 交通便利。。。。</span>,<span class=""text"">房子南北通透户型规整 卧室规整阳台明亮 南北通透学会看动静分区、干湿分离房子的户型合理与否，并不是在于它的面积大小..</span>,<span class=""text"">商场：含元路华润万家、易初莲花、海阔天空、东方美居灯饰城、北大明宫建材家居城、金花路华润万家、大明宫苏宁电器（相距1000米）、大明宫国美电器（相距1000米）、辛家庙水果..</span>",高楼层 (共32层),,3室1厅1卫  ,"<div class=""phone"">
              4008953553
                              <span>转</span>
                8826
                          </div>",未央,"<span class=""total"">1700</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",112天前发布,暂无数据,"<h1 class=""main"">大三室，中等装修，业主诚心出租，朝南户型采光通风好</h1>"
150平米,薛甜,泰祥花园,"<span class=""text"">此房位于高新重要教育生活圈，生活配套成熟，出行方便，教育资源优越。</span>,<span class=""text"">位于高新路和科技一路东北角，近三号线地铁科技路站，出行方便，</span>,<span class=""text"">精装，空房出租，大三居，位于高新繁华地段，教育资源丰厚，陪读好房</span>",高楼层 (共7层),"https://image1.ljcdn.com/610100-inspection/833bee65-eeef-4916-98b8-6782745c3d23.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/9438553f-f7b5-4b57-9552-215051997d1c.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/f2aa8ab7-ebe4-40a1-b08a-8d5a5f3f6e39.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/b90d0bc6-0555-43d8-bec0-bc4ea5deb9ee.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/f936316a-e52c-4f53-a8f9-2c41529be8b9.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/e9fbf41a-da68-4541-9e25-8484acb2dc4b.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/8408be52-83a7-405f-943c-3ce26f9d37ae.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/1b684ad6-0379-4176-bfa9-81e7181e299c.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/2414bb32-3d83-488b-a5c4-5f56a7a56732.jpg.600x450.jpg",3室2厅2卫  整租,"<div class=""phone"">
              4008955205
                              <span>转</span>
                4171
                          </div>",雁塔,"<span class=""total"">3500</span>,<span class=""unit"">
        <span>元/月</span>
      </span>,<span class=""tips decoration"">精装修</span>",113天前发布,距地铁3号线科技路508米,"<h1 class=""main"">大三居，交通好，南北通透，教育资源丰厚</h1>"
52平米,刘洋,南飞鸿广场,"<span class=""text"">飞鸿广场项目位于南三环与朱雀大街十字东南角，东临城南主轴长安南路，南接规划路，西临朱雀大街，北临 南三环。南飞鸿广场项目占地81亩，建筑面积约40万平米。现在小区正在建设中！</span>,<span class=""text"">东边是2号线地铁三爻站，小区门口就是南三环，小区西边是城南客运站，出行方便</span>,<span class=""text"">公园：千亩清凉山公园、西安自然博物馆、植物园、大唐芙蓉园、大雁塔北广场； 医院：西安市第八医院、西安市第七医院、521医院、肿瘤医院； 商场：三森国际家居、乐潮时尚购物、麦德龙、卜蜂莲花、国美电器、苏宁易购</span>",中楼层 (共18层),,1室1厅1卫  整租,"<div class=""phone"">
              4008959857
                              <span>转</span>
                7253
                          </div>",雁塔,"<span class=""total"">3600</span>,<span class=""unit"">
        <span>元/月</span>
      </span>,<span class=""tips decoration"">简单装修</span>",113天前发布,距地铁2号线三爻925米,"<h1 class=""main"">地铁2号线三爻站 上下两层  看房方便</h1>"
52平米,刘洋,南飞鸿广场,"<span class=""text"">东边是2号线地铁三爻站，小区门口就是南三环，小区西边是城南客运站，出行方便</span>,<span class=""text"">公园：千亩清凉山公园、西安自然博物馆、植物园、大唐芙蓉园、大雁塔北广场； 医院：西安市第八医院、西安市第七医院、521医院、肿瘤医院； 商场：三森国际家居、乐潮时尚购物、麦德龙、卜蜂莲花、国美电器、苏宁易购</span>,<span class=""text"">南飞鸿广场项目位于南三环与朱雀大街十字东南角，东临城南主轴长安南路，南接规划路，西临朱雀大街，北临 南三环。南飞鸿广场项目占地81亩，建筑面积约40万平米。现在小区正在建设中！</span>",中楼层 (共18层),,1室0厅2卫  整租,"<div class=""phone"">
              4008959857
                              <span>转</span>
                7253
                          </div>",雁塔,"<span class=""total"">3600</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",113天前发布,距地铁2号线三爻925米,"<h1 class=""main"">地铁2号线三爻站 上下两层 想出租办公 看房方便</h1>"
178平米,刘聪,紫薇风尚,"<span class=""text"">距离凤城五路地铁口951米，楼下交通方便，城内及东南西北均有公交直达，十分便利。</span>,<span class=""text"">紫薇隶属于高科地产，是西安本土放心老牌开发商，此盘是凤五地铁畔品质严选，物业服务好，绿化高，楼层墙面都贴有瓷砖，维修随时响应，省心安心。</span>,<span class=""text"">距离世纪金花400米、熙地港地铁一站路、人人乐230米、运动公园地铁1站路</span>",高楼层 (共32层),"https://image1.ljcdn.com/610100-inspection/8653ad16-33f0-48f1-949a-1ef5a81047ff.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/28285424-3c0b-47f3-adde-d589568c5df7.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/73164edb-1ec5-4831-b49d-6020f859f383.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/ff734707-7a96-4ec5-b8ef-3beca79c2249.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/d1788ae6-19c2-45a6-a52d-fbea29e8230a.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/572d5719-8580-4ec2-950e-4457155194e5.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/60f298ce-f6cb-4204-ac18-4c6448824775.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/cd289fa9-91cf-49de-a8bf-b73fdb0d43f4.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/c14ed396-1ec9-45a6-99fc-e5ffccab97ff.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/a02e4d2f-c410-4e32-870d-188a9b7692ba.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/841da023-9bcd-4675-b324-33c62e61dc27.png.600x450.jpg",4室2厅2卫  ,"<div class=""phone"">
              4008605299
                              <span>转</span>
                4450
                          </div>",未央,"<span class=""total"">4500</span>,<span class=""unit"">
        <i></i><span>元/月</span>
      </span>",116天前发布,距地铁2号线凤城五路813米,"<h1 class=""main"">视野宽阔，南北通透，不临街。安静</h1>"
43.6平米,吴薇,高新尊寓,"<span class=""text"">房子户型方正，方便室内家具布置；全明通透户型，居住舒适度较高，整个空间采光充足，利于后期居住；居室布局合理，通风良好，动静分离，兼顾到了卧室和卫生间的私密性；卧室厨卫等各个功能区的面积大小都比较合理。</span>,<span class=""text"">开发商统一精装交付，环保材料，业主自配全套全新品牌家具家电。</span>,<span class=""text"">占地面积：121000平方米 建筑面积：270000平方米 容积：4.27 绿化：30% 停车位：2080个车位。 物业公司：戴德梁行 物业费：1.70元/㎡•月 群贤道九號物业方面，由戴德梁行物业直管。英伦管家，国际物业。</span>,<span class=""text"">【幼儿园】中海华庭国际幼儿园、高新1小、2小 【综合商场】金鹰国际、世纪金花、卜蜂莲花、华润万家、永辉超市 【医院】高新医院、西安医学院附属医院、民航医院 【银行】中国银行、建设银行、工商银行 【小区配套】内部健身设施。</span>,<span class=""text"">乘2路，4路，201路，207路，212路，216路，217路，二环1号线，二环2号线等，到西桃园站下车步行410米即到 【地铁】地铁3号线到科技路站步行1873米。</span>",高楼层 (共30层),"https://image1.ljcdn.com/610100-inspection/91472607-f82b-42fb-a2a1-3833cb76a6d1.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/bd606fa8-353b-4c0b-816d-153d8d0fd2f4.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/c0da0bc9-6555-4c33-b3c4-81a7b6ccb208.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/39188453-4071-4c07-b298-10fb1a5a555d.jpg.600x450.jpg",1室0厅1卫  ,"<div class=""phone"">
              4008607665
                              <span>转</span>
                1315
                          </div>",雁塔,"<span class=""total"">2000</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",39天前发布,暂无数据,"<h1 class=""main"">高新区 南二环 高新尊寓 新房 精装一室空房 随时看房</h1>"
92平米,郭秦川,华远枫悦,"<span class=""text"">房子空置，毛坯房。所以考虑出租，看房提前预约，华远枫悦是华远地产继华远君城、华远海蓝城、华远锦悦之后在城北凤城五路开发第四个项目。</span>,<span class=""text"">占地面积：92000平方米 建筑面积：268666平方米 停车位：机动车车位数共3275辆，其中地下停车位2948个，地上停车327个，车位配比1:1.17 楼栋总数：25栋 总户数：2830户 物业公司：北京市圣瑞物业服务有限公司</span>,<span class=""text"">交通公交：K705路、 932路 、165路大明宫玻璃市场站下车距离项目50米； 地铁：地铁4号线百花村站下车距离项目658米、地铁2号线凤城五路站下车距离项目2800米。 幼儿园百花明德幼儿园、新概念第六幼儿园</span>,<span class=""text"">综合商场万达广场(大明宫店)、大明宫购物、好家人购物 医院未央区谭家社区卫生服务、西安市未央区中医医院、北环医院、煤机医院 银行中国工商银行、秦农银行 邮政中国邮政(便民驿站百花家园店)</span>",中楼层 (共34层),,3室2厅1卫  ,"<div class=""phone"">
              4008350537
                              <span>转</span>
                4507
                          </div>",未央,"<span class=""total"">1000</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",208天前发布,暂无数据,"<h1 class=""main"">华远枫悦 毛坯三室 看房预约 业主诚意出租</h1>"
90平米,马睿阳,华远君城,"<span class=""text"">小区门口有多路公交，公交车至太元路西段站下车向东400米 地铁：四号线大明宫站，三号线辛家庙站</span>,<span class=""text"">小区环境优美，华远君城社区总占地300亩，分东、西两区，是华远地产以品质生活为主题开发的大型社区，配北京圣瑞一级资质物业，自带华远好天地商街，社配套齐全，住户素质高</span>,<span class=""text"">商场：含元路华润万家、易初莲花、海阔天空、东方美居灯饰城、北大明宫建材家居城、金花路华润万家、大明宫苏宁电器（相距1000米）、大明宫国美电器（相距1000米）、辛家庙水果疏菜批发市场（相距800米） 医院：西京医院、唐城医院、黄河医院</span>",中楼层 (共18层),,2室2厅2卫  ,"<div class=""phone"">
              4008959807
                              <span>转</span>
                8372
                          </div>",未央,"<span class=""total"">2200</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",132天前发布,暂无数据,"<h1 class=""main"">华远君城 精装 2居室 大明宫遗址公园</h1>"
145平米,张枭雄,逸翠园四期,"<span class=""text"">一楼大平层，不管是住户或是办公，医疗都可以。，，，，，，，，，</span>,<span class=""text"">业主目前在其他房子住着，这里空置，因此想租出去。尽量是长租的。</span>,<span class=""text"">逸翠园位于高新开发区二次创业的CBD合心区，东邻西万路，北临南绕城高速，南至锦业三路，将以国际标准精心规划，建设大型综合发展社区，其中含有西安高档的住宅区、大型配套。步行街则可使住客足不出户，也能获得日常所需。</span>",低楼层 (共33层),"https://image1.ljcdn.com/610100-inspection/a8916894-7b87-4bec-8fe2-b8c1b5dbf10a.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/d3d5216f-4450-4a2b-b36d-16e7114bcabe.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/59e3ca5c-c744-4626-ab80-86a38366e51e.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/87ff25ca-fd9b-4712-8493-6d8c24391cdf.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/46273530-f99d-411b-853c-a947e83b5a36.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/c5bb9722-aa85-4d48-8d26-678bf4f75a7d.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/026268ae-1703-4d93-9bfe-913079ee1757.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/fcddddba-1534-4bcf-99b1-9d8aef97137a.jpg.600x450.jpg",3室2厅2卫  ,"<div class=""phone"">
              4008650956
                              <span>转</span>
                4339
                          </div>",雁塔,"<span class=""total"">5000</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",53天前发布,暂无数据,"<h1 class=""main"">逸翠园四期一楼三居室，，，，，，</h1>"
157.47平米,罗旭阳,中海碧林湾,,低楼层 (共34层),,4室2厅2卫  ,"<div class=""phone"">
              4008959296
                              <span>转</span>
                0561
                          </div>",雁塔,"<span class=""total"">2000</span>,<span class=""unit"">
        <i></i><span>元/月</span>
      </span>",32天前发布,暂无数据,"<h1 class=""main"">中海碧林湾 4室2厅 2000元</h1>"
